Rel_group,Raceway,StudyID,FishID,TagModel,TagID_Hex,TagID_Decimal,PRI,DateTagged,WarrantyLife,Rel_datetime,Rel_loc,Rel_Lat_,Rel_Lon_,Rel_rkm_,Surgeon,Length,Weight
2017_BeaconTag,,2017_BeaconTag,2017_BeaconTag_01,RefTag,FAA5,64165,60,4/1/2017 0:00,1000,5/8/2017 0:00,Anywhere,999,999,999,,,
2017_BeaconTag,,2017_BeaconTag,2017_BeaconTag_02,RefTag,FAA6,64166,60,4/1/2017 0:00,1000,5/8/2017 0:00,Anywhere,999,999,999,,,
2017_BeaconTag,,2017_BeaconTag,2017_BeaconTag_03,RefTag,FAA8,64168,60,4/1/2017 0:00,1000,5/8/2017 0:00,Anywhere,999,999,999,,,
2017_BeaconTag,,2017_BeaconTag,2017_BeaconTag_04,RefTag,FAA9,64169,60,4/1/2017 0:00,1000,5/8/2017 0:00,Anywhere,999,999,999,,,
2017_BeaconTag,,2017_BeaconTag,2017_BeaconTag_05,RefTag,FAAA,64170,60,4/1/2017 0:00,1000,5/8/2017 0:00,Anywhere,999,999,999,,,
2017_BeaconTag,,2017_BeaconTag,2017_BeaconTag_06,RefTag,FAAB,64171,60,4/1/2017 0:00,1000,5/8/2017 0:00,Anywhere,999,999,999,,,
2017_BeaconTag,,2017_BeaconTag,2017_BeaconTag_07,RefTag,FAAC,64172,60,4/1/2017 0:00,1000,5/8/2017 0:00,Anywhere,999,999,999,,,
2017_BeaconTag,,2017_BeaconTag,2017_BeaconTag_08,RefTag,FAAD,64173,60,4/1/2017 0:00,1000,5/8/2017 0:00,Anywhere,999,999,999,,,
2017_BeaconTag,,2017_BeaconTag,2017_BeaconTag_09,RefTag,FAAE,64174,60,4/1/2017 0:00,1000,5/8/2017 0:00,Anywhere,999,999,999,,,
2017_BeaconTag,,2017_BeaconTag,2017_BeaconTag_10,RefTag,FAB2,64178,60,4/1/2017 0:00,1000,5/8/2017 0:00,Anywhere,999,999,999,,,
2017_BeaconTag,,2017_BeaconTag,2017_BeaconTag_11,RefTag,FAB4,64180,60,4/1/2017 0:00,1000,5/8/2017 0:00,Anywhere,999,999,999,,,
2017_BeaconTag,,2017_BeaconTag,2017_BeaconTag_12,RefTag,FAB5,64181,60,4/1/2017 0:00,1000,5/8/2017 0:00,Anywhere,999,999,999,,,
2017_BeaconTag,,2017_BeaconTag,2017_BeaconTag_13,RefTag,FAB6,64182,60,4/1/2017 0:00,1000,5/8/2017 0:00,Anywhere,999,999,999,,,
2017_BeaconTag,,2017_BeaconTag,2017_BeaconTag_14,RefTag,FABA,64186,60,4/1/2017 0:00,1000,5/8/2017 0:00,Anywhere,999,999,999,,,
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-001,SS300,594A,22858,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,194,61.8
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-002,SS300,F4AA,62634,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,195,70.7
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-003,SS300,156A,5482,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,196,80
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-004,SS300,69AA,27050,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,380,450
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-005,SS300,D5BA,54714,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,188,66
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-006,SS300,354A,13642,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,201,89.1
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-007,SS300,D548,54600,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,177,63.3
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-008,SS300,8A95,35477,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,205,93.2
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-009,SS300,9551,38225,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,200,82.6
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-010,SS300,EA94,60052,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,200,79.3
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-011,SS300,D692,54930,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,208,94.9
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-012,SS300,536A,21354,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,202,98.4
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-013,SS300,5542,21826,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,200,87.7
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-014,SS300,E92A,59690,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,217,104.1
ACSH_20160506,NA,AntelopeCk_SH_Wild_2016,ACSH2016-015,SS300,DAA8,55976,10,5/6/2016 0:00,53,5/6/2016 11:42,AntelopeCk1,40.18689,-122.13482,462.402,JN,207,87.9
ACSH_20160511,NA,AntelopeCk_SH_Wild_2016,ACSH2016-016,SS300,52AA,21162,10,5/11/2016 0:00,53,5/11/2016 11:30,AntelopeCk1,40.18689,-122.13482,462.402,JN,380,500
ACSH_20160511,NA,AntelopeCk_SH_Wild_2016,ACSH2016-017,SS300,D2AA,53930,10,5/11/2016 0:00,53,5/11/2016 11:30,AntelopeCk1,40.18689,-122.13482,462.402,JN,211,88.6
ACSH_20160511,NA,AntelopeCk_SH_Wild_2016,ACSH2016-018,SS300,D6AA,54954,10,5/11/2016 0:00,53,5/11/2016 11:30,AntelopeCk1,40.18689,-122.13482,462.402,JN,176,53
ACSH_20160511,NA,AntelopeCk_SH_Wild_2016,ACSH2016-019,SS300,DAAE,55982,10,5/11/2016 0:00,53,5/11/2016 11:30,AntelopeCk1,40.18689,-122.13482,462.402,JN,177,61.4
ACSH_20160511,NA,AntelopeCk_SH_Wild_2016,ACSH2016-020,SS300,56EA,22250,10,5/11/2016 0:00,53,5/11/2016 11:30,AntelopeCk1,40.18689,-122.13482,462.402,JN,201,74.1
ACSH_20160511,NA,AntelopeCk_SH_Wild_2016,ACSH2016-021,SS300,DA92,55954,10,5/11/2016 0:00,53,5/11/2016 11:30,AntelopeCk1,40.18689,-122.13482,462.402,JN,192,71.8
1,,BattleCk_Wild_2014,BC2014-006,SS300,80F6,33014,5,4/22/2014 0:00,26.5,4/22/2014 12:19,BattleCk_RST,40.398121,-122.144874,517.384,JN,93,9.2
1,,BattleCk_Wild_2014,BC2014-007,SS300,811E,33054,5,4/22/2014 0:00,26.5,4/22/2014 12:19,BattleCk_RST,40.398121,-122.144874,517.384,JN,97,10.6
1,,BattleCk_Wild_2014,BC2014-009,SS300,80F4,33012,5,4/22/2014 0:00,26.5,4/22/2014 12:19,BattleCk_RST,40.398121,-122.144874,517.384,JN,94,9.7
1,,BattleCk_Wild_2014,BC2014-010,SS300,8105,33029,5,4/22/2014 0:00,26.5,4/22/2014 12:19,BattleCk_RST,40.398121,-122.144874,517.384,JN,92,9.4
1,,BattleCk_Wild_2014,BC2014-011,SS300,8120,33056,5,4/22/2014 0:00,26.5,4/22/2014 12:19,BattleCk_RST,40.398121,-122.144874,517.384,JN,85,7.1
1,,BattleCk_Wild_2014,BC2014-012,SS300,80FC,33020,5,4/22/2014 0:00,26.5,4/22/2014 12:19,BattleCk_RST,40.398121,-122.144874,517.384,JN,83,7.2
1,,BattleCk_Wild_2014,BC2014-013,SS300,80F8,33016,5,4/22/2014 0:00,26.5,4/22/2014 12:19,BattleCk_RST,40.398121,-122.144874,517.384,JN,94,9.7
1,,BattleCk_Wild_2014,BC2014-014,SS300,8115,33045,5,4/22/2014 0:00,26.5,4/22/2014 12:40,BattleCk_RST,40.398121,-122.144874,517.384,JN,88,8.1
1,,BattleCk_Wild_2014,BC2014-015,SS300,811A,33050,5,4/22/2014 0:00,26.5,4/22/2014 12:40,BattleCk_RST,40.398121,-122.144874,517.384,JN,90,8.4
1,,BattleCk_Wild_2014,BC2014-016,SS300,8101,33025,5,4/22/2014 0:00,26.5,4/22/2014 12:40,BattleCk_RST,40.398121,-122.144874,517.384,JN,88,8.1
1,,BattleCk_Wild_2014,BC2014-017,SS300,80F3,33011,5,4/22/2014 0:00,26.5,4/22/2014 12:40,BattleCk_RST,40.398121,-122.144874,517.384,JN,95,9.3
1,,BattleCk_Wild_2014,BC2014-018,SS300,8114,33044,5,4/22/2014 0:00,26.5,4/22/2014 12:40,BattleCk_RST,40.398121,-122.144874,517.384,JN,96,11
1,,BattleCk_Wild_2014,BC2014-019,SS300,811B,33051,5,4/22/2014 0:00,26.5,4/22/2014 12:40,BattleCk_RST,40.398121,-122.144874,517.384,JN,84,6.3
1,,BattleCk_Wild_2014,BC2014-020,SS300,8104,33028,5,4/22/2014 0:00,26.5,4/22/2014 12:40,BattleCk_RST,40.398121,-122.144874,517.384,JN,83,7
1,,BattleCk_Wild_2014,BC2014-021,SS300,8119,33049,5,4/22/2014 0:00,26.5,4/22/2014 12:40,BattleCk_RST,40.398121,-122.144874,517.384,JN,84,6.4
1,,BattleCk_Wild_2014,BC2014-022,SS300,80F1,33009,5,4/22/2014 0:00,26.5,4/22/2014 12:40,BattleCk_RST,40.398121,-122.144874,517.384,JN,86,7.9
1,,BattleCk_Wild_2014,BC2014-023,SS300,810C,33036,5,4/22/2014 0:00,26.5,4/22/2014 12:40,BattleCk_RST,40.398121,-122.144874,517.384,JN,83,6.8
2,,BattleCk_Wild_2014,BC2014-026,SS300,810F,33039,5,4/23/2014 0:00,26.5,4/23/2014 10:15,BattleCk_RST,40.398121,-122.144874,517.384,JN,91,8.3
2,,BattleCk_Wild_2014,BC2014-027,L-AMT-1.421,AAB5,43701,5,4/23/2014 0:00,32,4/23/2014 10:15,BattleCk_RST,40.398121,-122.144874,517.384,JN,91,8.2
2,,BattleCk_Wild_2014,BC2014-028,L-AMT-1.421,AB55,43861,5,4/23/2014 0:00,32,4/23/2014 10:15,BattleCk_RST,40.398121,-122.144874,517.384,JN,89,8.5
2,,BattleCk_Wild_2014,BC2014-029,L-AMT-1.421,5555,21845,5,4/23/2014 0:00,32,4/23/2014 10:15,BattleCk_RST,40.398121,-122.144874,517.384,JN,88,7.5
2,,BattleCk_Wild_2014,BC2014-030,L-AMT-1.421,AAAA,43690,5,4/23/2014 0:00,32,4/23/2014 10:15,BattleCk_RST,40.398121,-122.144874,517.384,JN,98,10.6
2,,BattleCk_Wild_2014,BC2014-031,L-AMT-1.421,AAD5,43733,5,4/23/2014 0:00,32,4/23/2014 10:15,BattleCk_RST,40.398121,-122.144874,517.384,JN,88,8.2
2,,BattleCk_Wild_2014,BC2014-032,L-AMT-1.421,D555,54613,5,4/23/2014 0:00,32,4/23/2014 10:15,BattleCk_RST,40.398121,-122.144874,517.384,JN,90,7.6
2,,BattleCk_Wild_2014,BC2014-033,L-AMT-1.421,B555,46421,5,4/23/2014 0:00,32,4/23/2014 10:15,BattleCk_RST,40.398121,-122.144874,517.384,JN,87,8
3,,BattleCk_Wild_2014,BC2014-035,L-AMT-1.421,AD55,44373,5,4/24/2014 0:00,32,4/24/2014 10:01,BattleCk_RST,40.398121,-122.144874,517.384,JN,87,7.7
3,,BattleCk_Wild_2014,BC2014-036,SS300,2D55,11605,10,4/24/2014 0:00,53,4/24/2014 10:01,BattleCk_RST,40.398121,-122.144874,517.384,JN,92,8.4
3,,BattleCk_Wild_2014,BC2014-037,SS300,2AA5,10917,10,4/24/2014 0:00,53,4/24/2014 10:01,BattleCk_RST,40.398121,-122.144874,517.384,JN,85,6.5
3,,BattleCk_Wild_2014,BC2014-038,SS300,4A2A,18986,10,4/24/2014 0:00,53,4/24/2014 10:01,BattleCk_RST,40.398121,-122.144874,517.384,JN,100,11.6
3,,BattleCk_Wild_2014,BC2014-039,SS300,2554,9556,10,4/24/2014 0:00,53,4/24/2014 10:01,BattleCk_RST,40.398121,-122.144874,517.384,JN,95,9.4
3,,BattleCk_Wild_2014,BC2014-040,SS300,4A55,19029,10,4/24/2014 0:00,53,4/24/2014 10:01,BattleCk_RST,40.398121,-122.144874,517.384,JN,100,11.5
3,,BattleCk_Wild_2014,BC2014-041,SS300,4AA8,19112,10,4/24/2014 0:00,53,4/24/2014 10:01,BattleCk_RST,40.398121,-122.144874,517.384,JN,84,6.6
3,,BattleCk_Wild_2014,BC2014-042,SS300,4AB5,19125,10,4/24/2014 0:00,53,4/24/2014 10:01,BattleCk_RST,40.398121,-122.144874,517.384,JN,83,6
3,,BattleCk_Wild_2014,BC2014-043,SS300,D512,54546,10,4/24/2014 0:00,53,4/24/2014 10:01,BattleCk_RST,40.398121,-122.144874,517.384,JN,82,6.2
4,,BattleCk_Wild_2014,BC2014-044,SS300,D62A,54826,5,4/25/2014 0:00,26.5,4/25/2014 9:34,BattleCk_RST,40.398121,-122.144874,517.384,JN,91,9.3
4,,BattleCk_Wild_2014,BC2014-045,SS300,55B6,21942,5,4/25/2014 0:00,26.5,4/25/2014 9:34,BattleCk_RST,40.398121,-122.144874,517.384,JN,89,7.7
4,,BattleCk_Wild_2014,BC2014-046,SS300,A54B,42315,5,4/25/2014 0:00,26.5,4/25/2014 9:34,BattleCk_RST,40.398121,-122.144874,517.384,JN,88,7.3
4,,BattleCk_Wild_2014,BC2014-047,SS300,5654,22100,5,4/25/2014 0:00,26.5,4/25/2014 9:34,BattleCk_RST,40.398121,-122.144874,517.384,JN,94,9.6
4,,BattleCk_Wild_2014,BC2014-048,SS300,C555,50517,5,4/25/2014 0:00,26.5,4/25/2014 9:34,BattleCk_RST,40.398121,-122.144874,517.384,JN,84,6.5
4,,BattleCk_Wild_2014,BC2014-049,SS300,D564,54628,5,4/25/2014 0:00,26.5,4/25/2014 10:25,BattleCk_RST,40.398121,-122.144874,517.384,JN,87,7.6
4,,BattleCk_Wild_2014,BC2014-050,SS300,DA8A,55946,5,4/25/2014 0:00,26.5,4/25/2014 10:25,BattleCk_RST,40.398121,-122.144874,517.384,JN,91,8.9
4,,BattleCk_Wild_2014,BC2014-051,SS300,6BAA,27562,5,4/25/2014 0:00,26.5,4/25/2014 10:25,BattleCk_RST,40.398121,-122.144874,517.384,JN,86,7
4,,BattleCk_Wild_2014,BC2014-052,SS300,E92A,59690,5,4/25/2014 0:00,26.5,4/25/2014 10:25,BattleCk_RST,40.398121,-122.144874,517.384,JN,84,6.9
5,,BattleCk_Wild_2014,BC2014-056,SS300,6AD6,27350,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,90,9.2
5,,BattleCk_Wild_2014,BC2014-057,SS300,5696,22166,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,99,11.6
5,,BattleCk_Wild_2014,BC2014-058,SS300,ABB5,43957,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,94,9.2
5,,BattleCk_Wild_2014,BC2014-059,SS300,EAB4,60084,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,85,7.3
5,,BattleCk_Wild_2014,BC2014-060,SS300,D56B,54635,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,91,8.8
5,,BattleCk_Wild_2014,BC2014-061,SS300,CD52,52562,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,86,7.2
5,,BattleCk_Wild_2014,BC2014-062,SS300,D4A5,54437,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,89,8.3
5,,BattleCk_Wild_2014,BC2014-063,SS300,AD75,44405,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,86,6.9
5,,BattleCk_Wild_2014,BC2014-064,SS300,AABD,43709,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,84,7.7
5,,BattleCk_Wild_2014,BC2014-065,SS300,D5B2,54706,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,98,11
5,,BattleCk_Wild_2014,BC2014-066,SS300,AB51,43857,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,95,10
5,,BattleCk_Wild_2014,BC2014-067,SS300,B549,46409,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,86,7
5,,BattleCk_Wild_2014,BC2014-068,SS300,AD6B,44395,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,92,9.4
5,,BattleCk_Wild_2014,BC2014-069,SS300,4A52,19026,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,95,10.2
5,,BattleCk_Wild_2014,BC2014-070,SS300,6B54,27476,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,104,12.9
5,,BattleCk_Wild_2014,BC2014-071,SS300,556D,21869,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,94,9.1
5,,BattleCk_Wild_2014,BC2014-072,SS300,EA54,59988,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,94,10
5,,BattleCk_Wild_2014,BC2014-073,SS300,5156,20822,5,4/26/2014 0:00,26.5,4/26/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,84,6.9
6,,BattleCk_Wild_2014,BC2014-081,SS300,AB69,43881,5,4/27/2014 0:00,26.5,4/27/2014 10:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,93,9
7,,BattleCk_Wild_2014,BC2014-082,SS300,D558,54616,5,4/28/2014 0:00,26.5,4/28/2014 11:20,BattleCk_RST,40.398121,-122.144874,517.384,JN,96,11
8,,BattleCk_Wild_2014,BC2014-084,SS300,5154,20820,5,5/1/2014 0:00,26.5,5/1/2014 10:00,BattleCk_RST,40.398121,-122.144874,517.384,JN,95,10.3
8,,BattleCk_Wild_2014,BC2014-085,SS300,AACD,43725,5,5/1/2014 0:00,26.5,5/1/2014 10:00,BattleCk_RST,40.398121,-122.144874,517.384,JN,92,9
8,,BattleCk_Wild_2014,BC2014-086,SS300,D568,54632,5,5/1/2014 0:00,26.5,5/1/2014 10:00,BattleCk_RST,40.398121,-122.144874,517.384,JN,102,12.5
9,,BattleCk_Wild_2014,BC2014-087,SS300,2B4A,11082,5,5/2/2014 0:00,26.5,5/2/2014 9:50,BattleCk_RST,40.398121,-122.144874,517.384,JN,98,11.1
11,,BattleCk_Wild_2014,BC2014-101,SS300,44AA,17578,5,5/6/2014 0:00,26.5,5/6/2014 8:34,BattleCk_RST,40.398121,-122.144874,517.384,JN,93,8.4
12,,BattleCk_Wild_2014,BC2014-102,SS300,28AA,10410,5,5/7/2014 0:00,26.5,5/7/2014 12:00,BattleCk_RST,40.398121,-122.144874,517.384,JN,92,9.5
12,,BattleCk_Wild_2014,BC2014-103,SS300,2A8A,10890,5,5/7/2014 0:00,26.5,5/7/2014 12:00,BattleCk_RST,40.398121,-122.144874,517.384,JN,91,9.6
12,,BattleCk_Wild_2014,BC2014-104,SS300,D494,54420,5,5/7/2014 0:00,26.5,5/7/2014 12:00,BattleCk_RST,40.398121,-122.144874,517.384,JN,99,11
12,,BattleCk_Wild_2014,BC2014-105,SS300,2B5A,11098,5,5/7/2014 0:00,26.5,5/7/2014 12:00,BattleCk_RST,40.398121,-122.144874,517.384,JN,88,7.6
12,,BattleCk_Wild_2014,BC2014-106,SS300,1554,5460,5,5/7/2014 0:00,26.5,5/7/2014 12:00,BattleCk_RST,40.398121,-122.144874,517.384,JN,95,9.8
12,,BattleCk_Wild_2014,BC2014-107,SS300,2AAB,10923,5,5/7/2014 0:00,26.5,5/7/2014 12:00,BattleCk_RST,40.398121,-122.144874,517.384,JN,82,7.2
13,,BattleCk_Wild_2014,BC2014-112,SS300,4ABA,19130,5,5/8/2014 0:00,26.5,5/8/2014 12:45,BattleCk_RST,40.398121,-122.144874,517.384,JN,99,11
13,,BattleCk_Wild_2014,BC2014-113,SS300,2AA2,10914,5,5/8/2014 0:00,26.5,5/8/2014 12:45,BattleCk_RST,40.398121,-122.144874,517.384,JN,85,6.9
14,,BattleCk_Wild_2014,BC2014-115,SS300,2AD2,10962,5,5/9/2014 0:00,26.5,5/9/2014 9:30,BattleCk_RST,40.398121,-122.144874,517.384,JN,99,12.4
1,,CM_Predator_2013,Pred2013-165,ATS-2011,1880,6272,3,4/22/2013 0:00,26.5,4/22/2013 19:09,Freeport Diversion,38.47238,-121.50669,153.238,CM,280,220
1,,CM_Predator_2013,Pred2013-166,ATS-2011,44EF,17647,3,4/22/2013 0:00,26.5,4/22/2013 19:31,Freeport Diversion,38.47238,-121.50669,153.238,CM,290,280
1,,CM_Predator_2013,Pred2013-167,ATS-2011,0A39,2617,3,4/22/2013 0:00,26.5,4/22/2013 21:49,Freeport Diversion,38.47238,-121.50669,153.238,CM,343,460
2,,CM_Predator_2013,Pred2013-169,ATS-2011,0EDF,3807,3,4/23/2013 0:00,26.5,4/23/2013 13:43,Freeport Diversion,38.47238,-121.50669,153.238,CM,250,220
2,,CM_Predator_2013,Pred2013-170,ATS-2011,34C8,13512,3,4/23/2013 0:00,26.5,4/23/2013 13:44,Freeport Diversion,38.47238,-121.50669,153.238,CM,400,800
2,,CM_Predator_2013,Pred2013-171,ATS-2011,79AC,31148,3,4/23/2013 0:00,26.5,4/23/2013 13:47,Freeport Diversion,38.47238,-121.50669,153.238,CM,360,740
2,,CM_Predator_2013,Pred2013-172,ATS-2011,6C4A,27722,3,4/23/2013 0:00,26.5,4/23/2013 13:47,Freeport Diversion,38.47238,-121.50669,153.238,CM,380,880
2,,CM_Predator_2013,Pred2013-173,ATS-2011,3874,14452,3,4/23/2013 0:00,26.5,4/23/2013 13:34,Freeport Diversion,38.47238,-121.50669,153.238,CM,380,660
3,,CM_Predator_2013,Pred2013-174,ATS-2011,23D7,9175,3.11,5/1/2013 0:00,26.5,5/1/2013 18:22,Blw Tisdale Release,38.9883,-121.81915,260.088,CM,285,280
3,,CM_Predator_2013,Pred2013-175,ATS-2011,364E,13902,3.33,5/1/2013 0:00,26.5,5/1/2013 18:22,Blw Tisdale Release,38.9883,-121.81915,260.088,CM,370,400
4,,CM_Predator_2013,Pred2013-181,ATS-2011,24F0,9456,3.27,5/2/2013 0:00,26.5,5/2/2013 8:07,Freeport Diversion,38.47238,-121.50669,153.238,CM,260,220
4,,CM_Predator_2013,Pred2013-182,ATS-2011,3F21,16161,3,5/2/2013 0:00,26.5,5/2/2013 8:07,Freeport Diversion,38.47238,-121.50669,153.238,CM,270,220
4,,CM_Predator_2013,Pred2013-183,ATS-2011,3.00E+48,15944,3.19,5/2/2013 0:00,26.5,5/2/2013 14:33,Freeport Diversion,38.47238,-121.50669,153.238,CM,451,142
4,,CM_Predator_2013,Pred2013-184,ATS-2011,1586,5510,3.13,5/2/2013 0:00,26.5,5/2/2013 17:03,Freeport Diversion,38.47238,-121.50669,153.238,CM,225,100
4,,CM_Predator_2013,Pred2013-185,ATS-2011,576F,22383,2.86,5/2/2013 0:00,26.5,5/2/2013 17:28,Freeport Diversion,38.47238,-121.50669,153.238,CM,220,120
4,,CM_Predator_2013,Pred2013-186,ATS-2011,73DA,29658,2.91,5/2/2013 0:00,26.5,5/2/2013 17:27,Freeport Diversion,38.47238,-121.50669,153.238,CM,550,2020
5,,CM_Predator_2013,Pred2013-187,ATS-2011,5105,20741,2.99,5/3/2013 0:00,26.5,5/3/2013 12:51,Freeport Diversion,38.47238,-121.50669,153.238,CM,293,360
5,,CM_Predator_2013,Pred2013-188,ATS-2011,3181,12673,2.9,5/3/2013 0:00,26.5,5/3/2013 15:51,Freeport Diversion,38.47238,-121.50669,153.238,CM,305,400
5,,CM_Predator_2013,Pred2013-189,ATS-2011,1BD4,7124,3.08,5/3/2013 0:00,26.5,5/3/2013 12:57,Freeport Diversion,38.47238,-121.50669,153.238,CM,225,140
5,,CM_Predator_2013,Pred2013-190,ATS-2011,2944,10564,3,5/3/2013 0:00,26.5,5/3/2013 12:53,Freeport Diversion,38.47238,-121.50669,153.238,CM,250,160
5,,CM_Predator_2013,Pred2013-191,ATS-2011,09ED,2541,3.12,5/3/2013 0:00,26.5,5/3/2013 17:35,Freeport Diversion,38.47238,-121.50669,153.238,CM,396,660
5,,CM_Predator_2013,Pred2013-192,ATS-2011,4ADA,19162,3.02,5/3/2013 0:00,26.5,5/3/2013 17:30,Freeport Diversion,38.47238,-121.50669,153.238,CM,395,760
5,,CM_Predator_2013,Pred2013-194,ATS-2011,7830,30768,2.96,5/3/2013 0:00,26.5,5/3/2013 21:55,Freeport Diversion,38.47238,-121.50669,153.238,CM,275,220
6,,CM_Predator_2013,Pred2013-197,ATS-2011,4417,17431,3.01,5/16/2013 0:00,26.5,5/16/2013 18:06,Freeport Diversion,38.47238,-121.50669,153.238,CM,520,1600
6,,CM_Predator_2013,Pred2013-198,ATS-2011,5EF6,24310,3.09,5/16/2013 0:00,26.5,5/16/2013 18:05,Freeport Diversion,38.47238,-121.50669,153.238,CM,320,400
6,,CM_Predator_2013,Pred2013-199,ATS-2011,5FDC,24540,3.18,5/16/2013 0:00,26.5,5/16/2013 18:05,Freeport Diversion,38.47238,-121.50669,153.238,CM,280,300
6,,CM_Predator_2013,Pred2013-200,ATS-2011,4292,17042,3.17,5/16/2013 0:00,26.5,5/16/2013 18:05,Freeport Diversion,38.47238,-121.50669,153.238,CM,230,140
6,,CM_Predator_2013,Pred2013-201,ATS-2011,4A9E,19102,3.1,5/16/2013 0:00,26.5,5/16/2013 18:02,Freeport Diversion,38.47238,-121.50669,153.238,CM,320,280
6,,CM_Predator_2013,Pred2013-202,ATS-2011,63FD,25597,3,5/16/2013 0:00,26.5,5/16/2013 18:00,Freeport Diversion,38.47238,-121.50669,153.238,CM,250,160
6,,CM_Predator_2013,Pred2013-203,ATS-2011,56,86,3.14,5/16/2013 0:00,26.5,5/16/2013 18:01,Freeport Diversion,38.47238,-121.50669,153.238,CM,270,240
7,,CM_Predator_2013,Pred2013-204,ATS-2011,4B0B,19211,3,5/17/2013 0:00,26.5,5/17/2013 7:40,Freeport Diversion,38.47238,-121.50669,153.238,CM,320,340
7,,CM_Predator_2013,Pred2013-205,ATS-2011,3A24,14884,2.98,5/17/2013 0:00,26.5,5/17/2013 7:42,Freeport Diversion,38.47238,-121.50669,153.238,CM,340,340
