"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ya","yn","yn_ya"
"36","14.3","0",0.777777777777778,"a",0.711864406779661,0.389775364229758,9.6,0,59,0.0498681252315666,0.1,1,10
"37","15.7","0",0.777777777777778,"a",0.711864406779661,0.391194994489931,10.3,0,59,0.05920200979696,0.1,1,10
"38","17.1","0",0.777777777777778,"a",0.711864406779661,0.392550267656637,11,0,59,0.0697892213601519,0.1,1,10
"39","18.6","0",0.796296296296296,"a",0.728813559322034,0.395009580546336,11.6,0,59,0.0816196490173649,0.1,1,10
"40","20","0",0.777777777777778,"a",0.711864406779661,0.401428252304649,11.9,0,59,0.0920593877852361,0.1,1,10
"41","7.1","1",0.166666666666667,"a",0.152542372881356,0.364435948330673,5,0,59,0.0173289877275125,0.1,1,10
"42","8.5","1",0.166666666666667,"a",0.152542372881356,0.370352895867792,6.4,0,59,0.0225090666101363,0.1,1,10
"43","10","1",0.166666666666667,"a",0.152542372881356,0.376094470829017,7.9,0,59,0.029604277946649,0.1,1,10
"44","11.4","1",0.166666666666667,"a",0.152542372881356,0.38653493550031,8.9,0,59,0.0366475667412144,0.1,1,10
"45","12.8","1",0.166666666666667,"a",0.152542372881356,0.388289888853245,8.9,0,59,0.041389513222449,0.1,1,10
"46","14.3","1",0.166666666666667,"a",0.152542372881356,0.389775364229758,9.6,0,59,0.0498681252315666,0.1,1,10
"47","15.7","1",0.166666666666667,"a",0.152542372881356,0.391194994489931,10.3,0,59,0.05920200979696,0.1,1,10
"48","17.1","1",0.166666666666667,"a",0.152542372881356,0.392550267656637,11,0,59,0.0697892213601519,0.1,1,10
"49","18.6","1",0.12962962962963,"a",0.11864406779661,0.395009580546336,11.6,0,59,0.0816196490173649,0.1,1,10
"50","20","1",0.166666666666667,"a",0.152542372881356,0.401428252304649,11.9,0,59,0.0920593877852361,0.1,1,10
"51","7.1","2",0.0555555555555556,"a",0.0508474576271186,0.364435948330673,5,0,59,0.0173289877275125,0.1,1,10
"52","8.5","2",0.0555555555555556,"a",0.0508474576271186,0.370352895867792,6.4,0,59,0.0225090666101363,0.1,1,10
"53","10","2",0.0555555555555556,"a",0.0508474576271186,0.376094470829017,7.9,0,59,0.029604277946649,0.1,1,10
"54","11.4","2",0.0555555555555556,"a",0.0508474576271186,0.38653493550031,8.9,0,59,0.0366475667412144,0.1,1,10
"55","12.8","2",0.0555555555555556,"a",0.0508474576271186,0.388289888853245,8.9,0,59,0.041389513222449,0.1,1,10
"56","14.3","2",0.0555555555555556,"a",0.0508474576271186,0.389775364229758,9.6,0,59,0.0498681252315666,0.1,1,10
"57","15.7","2",0.0555555555555556,"a",0.0508474576271186,0.391194994489931,10.3,0,59,0.05920200979696,0.1,1,10
"58","17.1","2",0.0555555555555556,"a",0.0508474576271186,0.392550267656637,11,0,59,0.0697892213601519,0.1,1,10
"59","18.6","2",0.0740740740740741,"a",0.0677966101694915,0.395009580546336,11.6,0,59,0.0816196490173649,0.1,1,10
"60","20","2",0.0555555555555556,"a",0.0508474576271186,0.401428252304649,11.9,0,59,0.0920593877852361,0.1,1,10
"61","7.1","0",0,"n",0,0.117310401953481,5,0,59,0.0169447404031116,0.3,1,3.33333333333333
"62","8.5","0",0,"n",0,0.121951135829678,6.4,0,59,0.0220203953387493,0.3,1,3.33333333333333
"63","10","0",0,"n",0,0.12671977002779,7.9,0,59,0.02897282490912,0.3,1,3.33333333333333
"64","11.4","0",0,"n",0,0.132739171203125,8.9,0,59,0.0358749081368944,0.3,1,3.33333333333333
"65","12.8","0",0,"n",0,0.134555387137979,8.9,0,59,0.0405220926785244,0.3,1,3.33333333333333
"66","14.3","0",0,"n",0,0.136178887039857,9.6,0,59,0.0488318424694035,0.3,1,3.33333333333333
"67","15.7","0",0,"n",0,0.137672275233715,10.3,0,59,0.05798060540039,0.3,1,3.33333333333333
"68","17.1","0",0,"n",0,0.139108111819894,11,0,59,0.068358720064261,0.3,1,3.33333333333333
"69","18.6","0",0,"n",0,0.141602048310616,11.6,0,59,0.079956502361664,0.3,1,3.33333333333333
"70","20","0",0,"n",0,0.144982094154124,11.9,0,59,0.0901917579097704,0.3,1,3.33333333333333
"71","7.1","1",0,"n",0,0.117310401953481,5,0,59,0.0169447404031116,0.3,1,3.33333333333333
"72","8.5","1",0,"n",0,0.121951135829678,6.4,0,59,0.0220203953387493,0.3,1,3.33333333333333
"73","10","1",0,"n",0,0.12671977002779,7.9,0,59,0.02897282490912,0.3,1,3.33333333333333
"74","11.4","1",0,"n",0,0.132739171203125,8.9,0,59,0.0358749081368944,0.3,1,3.33333333333333
"75","12.8","1",0,"n",0,0.134555387137979,8.9,0,59,0.0405220926785244,0.3,1,3.33333333333333
"76","14.3","1",0,"n",0,0.136178887039857,9.6,0,59,0.0488318424694035,0.3,1,3.33333333333333
"77","15.7","1",0,"n",0,0.137672275233715,10.3,0,59,0.05798060540039,0.3,1,3.33333333333333
"78","17.1","1",0,"n",0,0.139108111819894,11,0,59,0.068358720064261,0.3,1,3.33333333333333
"79","18.6","1",0,"n",0,0.141602048310616,11.6,0,59,0.079956502361664,0.3,1,3.33333333333333
"80","20","1",0,"n",0,0.144982094154124,11.9,0,59,0.0901917579097704,0.3,1,3.33333333333333
"81","7.1","2",1,"n",0.0847457627118644,0.117310401953481,5,0,59,0.0169447404031116,0.3,1,3.33333333333333
"82","8.5","2",1,"n",0.0847457627118644,0.121951135829678,6.4,0,59,0.0220203953387493,0.3,1,3.33333333333333
"83","10","2",1,"n",0.0847457627118644,0.12671977002779,7.9,0,59,0.02897282490912,0.3,1,3.33333333333333
"84","11.4","2",1,"n",0.0847457627118644,0.132739171203125,8.9,0,59,0.0358749081368944,0.3,1,3.33333333333333
"85","12.8","2",1,"n",0.0847457627118644,0.134555387137979,8.9,0,59,0.0405220926785244,0.3,1,3.33333333333333
"86","14.3","2",1,"n",0.0847457627118644,0.136178887039857,9.6,0,59,0.0488318424694035,0.3,1,3.33333333333333
"87","15.7","2",1,"n",0.0847457627118644,0.137672275233715,10.3,0,59,0.05798060540039,0.3,1,3.33333333333333
"88","17.1","2",1,"n",0.0847457627118644,0.139108111819894,11,0,59,0.068358720064261,0.3,1,3.33333333333333
"89","18.6","2",1,"n",0.0847457627118644,0.141602048310616,11.6,0,59,0.079956502361664,0.3,1,3.33333333333333
"90","20","2",1,"n",0.0847457627118644,0.144982094154124,11.9,0,59,0.0901917579097704,0.3,1,3.33333333333333
"91","7.1","0",0.777777777777778,"a",0.711864406779661,0.117310401953481,5,0,59,0.0169447404031116,0.3,1,3.33333333333333
