"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","ya"
"224","11.4","1",0.294117647058824,"a",0.2,0.126979616802463,2.2,14.4,25,0.7
"225","12.8","1",0.368421052631579,"a",0.269230769230769,0.118671109242303,2.3,14.3,26,0.7
"226","14.3","1",0.166666666666667,"a",0.130434782608696,0.160157555404957,1.7,15.4,23,0.7
"227","15.7","1",0.266666666666667,"a",0.16,0.120064517539141,2.5,14.8,25,0.7
"228","17.1","1",0.277777777777778,"a",0.2,0.131419381811858,2.2,15,25,0.7
"229","18.6","1",0.157894736842105,"a",0.125,0.150175176697418,1.8,15.3,24,0.7
"230","20","1",0,"a",0,0.149713213783154,1.8,15.3,24,0.7
"231","7.1","2",0.125,"a",0.0833333333333333,0.135255750364501,2.1,14.4,24,0.7
"232","8.5","2",0.2,"a",0.16,0.131540362024314,2,14.3,25,0.7
"233","10","2",0.411764705882353,"a",0.318181818181818,0.173756870364671,1.5,15.2,22,0.7
"234","11.4","2",0.117647058823529,"a",0.08,0.126979616802463,2.2,14.4,25,0.7
"235","12.8","2",0.105263157894737,"a",0.0769230769230769,0.118671109242303,2.3,14.3,26,0.7
"236","14.3","2",0.333333333333333,"a",0.260869565217391,0.160157555404957,1.7,15.4,23,0.7
"237","15.7","2",0.133333333333333,"a",0.08,0.120064517539141,2.5,14.8,25,0.7
"238","17.1","2",0.166666666666667,"a",0.12,0.131419381811858,2.2,15,25,0.7
"239","18.6","2",0.315789473684211,"a",0.25,0.150175176697418,1.8,15.3,24,0.7
"240","20","2",0.388888888888889,"a",0.291666666666667,0.149713213783154,1.8,15.3,24,0.7
"241","7.1","0",0.6,"n",0.48,0.092472769977483,3.2,14.1,25,0.9
"242","8.5","0",0.6,"n",0.48,0.0919252292494478,3.2,14.3,25,0.9
"243","10","0",0.6,"n",0.48,0.0923702734239444,3.2,14.3,25,0.9
"244","11.4","0",0.6,"n",0.48,0.0928091333994437,3.2,14.4,25,0.9
"245","12.8","0",0.6,"n",0.48,0.0932419666998483,3.2,14.6,25,0.9
"246","14.3","0",0.6,"n",0.48,0.0936689250053992,3.2,14.8,25,0.9
"247","15.7","0",0.5,"n",0.416666666666667,0.102133206414581,3.2,15.1,24,0.9
"248","17.1","0",0.578947368421053,"n",0.458333333333333,0.103781978900799,3,15.3,24,0.9
"249","18.6","0",0.428571428571429,"n",0.375,0.0996061616917196,3.4,15.3,24,0.9
"250","20","0",0.5,"n",0.416666666666667,0.102302645856838,3.2,15.3,24,0.9
"251","7.1","1",0,"n",0,0.092472769977483,3.2,14.1,25,0.9
"252","8.5","1",0,"n",0,0.0919252292494478,3.2,14.3,25,0.9
"253","10","1",0,"n",0,0.0923702734239444,3.2,14.3,25,0.9
