"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","N"
"22","8.5","2",0.19047619047619,"n",0.142857142857143,0.0659586515224852,2.8,16.7,28,0.0614224861024591,0.1
"23","10","2",0.208333333333333,"n",0.15625,0.0522995497960527,4.7,17,32,0.0774996901503023,0.1
"24","11.4","2",0.25,"n",0.178571428571429,0.0769290393721171,4.3,21.6,28,0.112729240671452,0.1
"25","12.8","2",0.277777777777778,"n",0.192307692307692,0.0937546005823487,3.9,24.6,26,0.140012256199518,0.1
"26","14.3","2",0.238095238095238,"n",0.172413793103448,0.0753105232206326,4.6,24.3,29,0.157102383106649,0.1
"27","15.7","2",0.263157894736842,"n",0.185185185185185,0.0903717858120333,4.3,27.7,27,0.184258591645921,0.1
"28","17.1","2",0.35,"n",0.28,0.107787832549183,4,31.3,25,0.21088187286358,0.1
"29","18.6","2",0.16,"n",0.121212121212121,0.0578366910425318,8.2,26.1,33,0.21088187286358,0.1
"30","20","2",0.178571428571429,"n",0.138888888888889,0.047934691703194,9.5,23.7,36,0.211866187738025,0.1
"31","7.1","0",0,"a",0,0.100593649117903,2.1,17.9,23,0.0581388249819421,0.1
"32","8.5","0",0,"a",0,0.0659586515224852,2.8,16.7,28,0.0614224861024591,0.1
"33","10","0",0,"a",0,0.0522995497960527,4.7,17,32,0.0774996901503023,0.1
"34","11.4","0",0,"a",0,0.0769290393721171,4.3,21.6,28,0.112729240671452,0.1
"35","12.8","0",0,"a",0,0.0937546005823487,3.9,24.6,26,0.140012256199518,0.1
"36","14.3","0",0,"a",0,0.0753105232206326,4.6,24.3,29,0.157102383106649,0.1
"37","15.7","0",0,"a",0,0.0903717858120333,4.3,27.7,27,0.184258591645921,0.1
"38","17.1","0",0,"a",0,0.107787832549183,4,31.3,25,0.21088187286358,0.1
"39","18.6","0",0,"a",0,0.0578366910425318,8.2,26.1,33,0.21088187286358,0.1
"40","20","0",0,"a",0,0.047934691703194,9.5,23.7,36,0.211866187738025,0.1
"41","7.1","1",0,"a",0,0.100593649117903,2.1,17.9,23,0.0581388249819421,0.1
"42","8.5","1",0.142857142857143,"a",0.0357142857142857,0.0659586515224852,2.8,16.7,28,0.0614224861024591,0.1
"43","10","1",0.125,"a",0.03125,0.0522995497960527,4.7,17,32,0.0774996901503023,0.1
"44","11.4","1",0.125,"a",0.0357142857142857,0.0769290393721171,4.3,21.6,28,0.112729240671452,0.1
"45","12.8","1",0.125,"a",0.0384615384615385,0.0937546005823487,3.9,24.6,26,0.140012256199518,0.1
"46","14.3","1",0.125,"a",0.0344827586206897,0.0753105232206326,4.6,24.3,29,0.157102383106649,0.1
"47","15.7","1",0.125,"a",0.037037037037037,0.0903717858120333,4.3,27.7,27,0.184258591645921,0.1
"48","17.1","1",0,"a",0,0.107787832549183,4,31.3,25,0.21088187286358,0.1
"49","18.6","1",0,"a",0,0.0578366910425318,8.2,26.1,33,0.21088187286358,0.1
"50","20","1",0.125,"a",0.0277777777777778,0.047934691703194,9.5,23.7,36,0.211866187738025,0.1
"51","7.1","2",1,"a",0.260869565217391,0.100593649117903,2.1,17.9,23,0.0581388249819421,0.1
"52","8.5","2",0.857142857142857,"a",0.214285714285714,0.0659586515224852,2.8,16.7,28,0.0614224861024591,0.1
"53","10","2",0.875,"a",0.21875,0.0522995497960527,4.7,17,32,0.0774996901503023,0.1
"54","11.4","2",0.875,"a",0.25,0.0769290393721171,4.3,21.6,28,0.112729240671452,0.1
"55","12.8","2",0.875,"a",0.269230769230769,0.0937546005823487,3.9,24.6,26,0.140012256199518,0.1
"56","14.3","2",0.875,"a",0.241379310344828,0.0753105232206326,4.6,24.3,29,0.157102383106649,0.1
"57","15.7","2",0.875,"a",0.259259259259259,0.0903717858120333,4.3,27.7,27,0.184258591645921,0.1
"58","17.1","2",1,"a",0.2,0.107787832549183,4,31.3,25,0.21088187286358,0.1
"59","18.6","2",1,"a",0.242424242424242,0.0578366910425318,8.2,26.1,33,0.21088187286358,0.1
"60","20","2",0.875,"a",0.194444444444444,0.047934691703194,9.5,23.7,36,0.211866187738025,0.1
"61","7.1","0",0.555555555555556,"n",0.434782608695652,0.105157170227255,2.1,17.9,23,0.0581388249819421,0.3
"62","8.5","0",0.4,"n",0.3,0.142567734152108,1.3,20.7,20,0.0736545834223382,0.3
